CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX TrestMIN TrestMAX MWEBV MU MUMODEL MUERR MUERR_RAW MURES MUPULL ERRCODE biasCor_mu biasCorErr_mu biasCor_mB biasCor_x1 biasCor_c biasScale_muCOV IDSAMPLE
04D3gt 38 4 0 D3 1 0.45138 0 0.45155 0 51.8677 0 11.34 0.0945 55.0488 45.6599 29.183 53137.84 0.147 -0.229321 0.1105 0.1918 0.0276498 22.9882 0.0264159 1.14476E-05 2.7852E-07 -0.000148835 -6.07634E-09 -5.40651E-09 45 85.4657 0.000258217 215.635803 52.646919 9.5651 -14.707 44.4252 0.008256 41.7355 41.9966 0.1402 0.0928 -0.269 -1.917 0 -0.133 0.02 0.005 -0.084 0.034 0.958 3
04D3hn 39 4 0 D3 1 0.55239 0 0.5526 0 64.5266 0 10.79 0.022 52.5473 41.3197 17.4067 53137.148 0.178 -0.56664 0.1206 0.0818121 0.0338445 23.2307 0.0264372 9.15652E-06 2.22957E-07 0.000345775 -8.77598E-09 -4.10705E-09 49 94.3106 0.000153142 215.528732 52.228588 8.9501 -13.3044 43.301 0.010234 42.3355 42.5226 0.1481 0.118 -0.222 -1.497 0 -0.137 0.013 -0.002 -0.119 0.032 0.85 3
04D3ks 40 4 0 D3 1 0.75039 0 0.75068 0 87.5165 0 8.459 0.226 27.6613 21.5956 8.6245 53163.195 0.345 0.6392 0.304 -0.0317871 0.0602404 23.545 0.0416139 6.85514E-06 2.62743E-07 -0.000111281 -4.49504E-08 3.01209E-09 29 49.3848 0.0105117 215.639786 52.185184 12.5201 -14.1696 37.1741 0.010062 43.1304 43.3328 0.1959 0.2469 -0.185 -0.946 0 -0.064 0.006 -0.008 -0.021 0.014 0.526 3
04D3lu 41 4 0 D3 1 0.82238 0 0.82269 0 94.2284 0 11.111 0.0765 25.8733 24.145 10.1891 53169.137 0.401 -0.580868 0.2251 -0.11081 0.0542189 24.0911 0.0382495 4.14516E-06 1.4603E-07 0.00180465 -8.86747E-09 2.27992E-09 28 40.5652 0.0751112 215.283203 52.974792 12.0296 -12.4627 32.4442 0.0086 43.6846 43.5773 0.1412 0.2187 0.08 0.564 0 0.082 0.01 -0.009 -0.35 -0.039 0.334 3
04D3ml 42 4 0 D3 1 0.95039 0 0.95076 0 111.4523 0 9.882 0.2085 17.7777 17.466 10.2595 53180.188 0.588 1.1664 0.4505 -0.140442 0.0486395 24.3099 0.0564864 3.38882E-06 1.76306E-07 0.00199058 -3.34785E-08 3.91025E-09 24 17.4494 0.8289 214.162781 53.093254 11.24 -14.7997 24.6474 0.009116 44.0071 43.9647 0.1352 0.2311 0.024 0.177 0 0.307 0.012 0.043 0.216 -0.062 0.28 3
04D3nh 43 4 0 D3 1 0.34039 0 0.34052 0 39.5653 0 9.356 0.0205 128.637 120.92 90.1464 53174.383 0.099 0.6087 0.0874864 -0.00262291 0.0211701 21.8774 0.0249225 3.18452E-05 7.30992E-07 0.000119732 -8.20968E-09 -1.29405E-08 27 23.2211 0.6731 215.611282 52.333447 16.3567 -6.74848 40.1994 0.00903 41.3077 41.2744 0.1084 0.0632 0.02 0.188 0 -0.021 0.007 0.002 -0.005 0.006 0.739 3
04D3ny 44 4 0 D3 1 0.8104 0 0.81072 0 96.6373 0 10.032 0.262 18.4939 17.3503 11.217 53194.184 0.638 -0.0716221 0.4948 -0.0114148 0.0619597 23.9575 0.0517979 4.68815E-06 2.23661E-07 0.00642306 -5.25125E-08 3.26873E-09 17 25.439 0.085305 214.734665 52.187466 12.1051 -13.7194 18.8212 0.008944 43.4452 43.5381 0.1701 0.2547 -0.121 -0.709 0 -0.153 0.01 -0.022 -0.204 0.027 0.377 3
04D4an 45 4 0 D4 1 0.61191 0 0.61124 0 -200.357 0 10.541 0.154 26.7582 16.9793 10.8379 53183.684 0.481 -0.348572 0.3959 0.021226 0.0394158 23.7623 0.0394389 5.61139E-06 2.03831E-07 0.00193065 -5.03637E-08 -1.88759E-09 33 45.3999 0.0737545 333.987915 -17.695501 9.2437 -6.30134 43.8285 0.021156 43.1064 42.7879 0.1688 0.1606 0.329 1.948 0 -0.119 0.009 -0.007 -0.119 0.025 0.755 3
04D4bq 46 4 0 D4 1 0.54891 0 0.54831 0 -179.369 0 8.706 0.7525 33 27.0923 12.1382 53193.699 0.29 0.666 0.2594 0.0993785 0.0370823 23.09 0.0329625 1.04227E-05 3.1643E-07 0.00160101 -4.33971E-08 -5.92849E-09 36 46.2996 0.1168 333.705933 -17.827595 9.6245 -13.0192 44.3044 0.02236 42.2419 42.5022 0.1581 0.1318 -0.295 -1.866 0 -0.11 0.009 -0.002 -0.005 0.029 0.853 3
04D4dw 47 4 0 D4 1 1.02991 0 1.02879 0 -336.79 0 10.785 0.22 16.0325 7.8584 7.7667 53200.707 0.665 1.1066 0.4152 -0.126679 0.0549567 24.2867 0.0738383 3.46194E-06 2.35438E-07 0.00385843 -3.18918E-08 7.16052E-09 43 50.6803 0.2268 334.186127 -17.83407 7.3759 -13.3805 44.0823 0.024768 44.0494 44.1764 0.1507 0.2631 -0.145 -0.965 0 0.236 0.016 0.032 0.167 -0.048 0.28 3
04D4gg 48 4 0 D4 1 0.42291 0 0.42244 0 -139.101 0 10.057 0.3455 81.663 68.0342 43.2615 53246.762 0.121 1.2319 0.1372 0.0817687 0.0249101 22.476 0.028958 1.83476E-05 4.89355E-07 0.000440804 -2.46258E-08 -9.41993E-09 39 61.7905 0.0115079 334.038574 -17.294411 9.7876 -13.5539 35.4333 0.023392 41.7003 41.8247 0.1313 0.0784 -0.132 -1.007 0 -0.029 0.01 0.008 0.1 0.014 0.954 3
04D4hu 49 4 0 D4 1 0.70191 0 0.70115 0 -229.398 0 9.475 0.222 35.4247 28.891 9.9003 53256.895 0.378 0.0531798 0.2342 -0.103525 0.0573371 23.6658 0.0326068 6.13335E-06 1.84197E-07 0.000562464 -1.8054E-08 -1.16573E-09 36 53.2402 0.0320297 333.900879 -17.8389 8.8195 -13.1569 43.6729 0.022016 43.2532 43.1513 0.1821 0.2179 0.119 0.654 0 0.107 0.006 -0.003 -0.091 -0.034 0.558 3
04D4ic 50 4 0 D4 1 0.68591 0 0.68517 0 -223.682 0 9.325 0.155 19.6646 15.0161 7.3064 53256.324 0.638 -0.864774 0.3814 -0.0158963 0.0729967 23.869 0.0433114 5.08626E-06 2.02898E-07 0.0019992 -3.59506E-08 -1.01361E-09 38 47.72 0.1341 333.591064 -17.943487 8.8962 -14.7266 44.4321 0.02408 43.2157 43.09 0.2447 0.2791 0.143 0.583 0 -0.119 0.012 -0.015 -0.236 0.018 0.667 3
04D4ih 51 4 0 D4 1 0.93291 0 0.93189 0 -305.68 0 10.855 0.1285 23.7648 20.3247 8.0042 53269.613 0.442 0.3461 0.3497 -0.212703 0.0502361 24.1277 0.0572167 4.00803E-06 2.11217E-07 -0.000930703 -3.15476E-08 5.52546E-09 34 52.2705 0.0234151 334.320923 -17.677382 7.766 -8.38814 41.6781 0.023478 43.8376 43.911 0.1409 0.2409 -0.092 -0.652 0 0.487 0.015 0.045 -0.172 -0.127 0.284 3
04D4im 52 4 0 D4 1 0.74991 0 0.74909 0 -245.755 0 11.199 0.1025 30.1778 23.4668 9.7758 53285.109 0.288 1.1745 0.2296 0.0127256 0.0577528 23.5822 0.033683 6.62406E-06 2.05499E-07 -0.00164932 -2.05526E-08 1.17112E-09 31 159.4192 7.54696E-19 333.75354 -17.396042 8.5777 -15.2591 37.1841 0.020124 43.1815 43.3272 0.1914 0.2322 -0.129 -0.671 0 -0.104 0.009 -0.001 0.197 0.036 0.557 3
